OVERALL,-0.82098055207,-0.579818495253	
yellow,-9.83574390045,0	
barraged,-9.83574390045,0	
prefix,-9.83574390045,0	
railing,-9.83574390045,0	
increase,-8.04398443122,-7.77071555514	
granting,-9.83574390045,0	
electricity,0,-9.56247502437	
originality,-9.83574390045,0	
homemakers,-9.83574390045,0	
hormone,-9.14259671989,0	
regional,0,-7.16457975157	
screaming,-9.83574390045,0	
four,-8.22630598802,-8.4638627357	
internally,0,-8.86932784381	
prize,-9.83574390045,0	
customizable,-9.83574390045,0	
wednesday,0,-7.77071555514	
cyberopps,-9.14259671989,0	
charter,0,-8.86932784381	
tired,-9.14259671989,0	
miller,0,-9.56247502437	
bacon,-9.83574390045,0	
tires,-8.73713161178,0	
second,-8.73713161178,-9.56247502437	
errors,-8.22630598802,-9.56247502437	
thunder,-9.83574390045,0	
daysor,-9.83574390045,0	
bonuses,-8.44944953933,0	
increasing,0,-8.17618066325	
mailings,-9.14259671989,0	
affiliates,-8.04398443122,0	
47,-9.83574390045,-9.56247502437	
china,-9.14259671989,0	
borrowers,-9.83574390045,0	
k,-8.73713161178,-9.56247502437	
reports,0,-9.56247502437	
oxymoron,0,-9.56247502437	
i'd,0,-8.86932784381	
i'm,-8.44944953933,-8.4638627357	
explained,-9.83574390045,0	
lengthen,-9.83574390045,0	
replace,-9.83574390045,-9.56247502437	
brought,-9.83574390045,0	
stern,-9.83574390045,0	
055,0,-8.86932784381	
txu,0,-8.86932784381	
classifieds,-9.83574390045,0	
unit,0,-7.61656487532	
derivatives,0,-8.4638627357	
spoke,0,-8.86932784381	
'underga,0,-9.56247502437	
catchy,-9.83574390045,0	
music,0,-9.56247502437	
therefore,-8.44944953933,-8.4638627357	
passport,-9.83574390045,0	
until,-8.22630598802,-7.07756837458	
'swbe,0,-9.56247502437	
successful,-7.00253055639,0	
brings,-8.73713161178,-8.86932784381	
yahoo,-7.88983375139,0	
99,-7.63851932311,-5.55514183914	
98,-9.83574390045,0	
90,-9.83574390045,-8.86932784381	
92,-9.83574390045,0	
95,-7.12769369935,0	
97,-9.83574390045,0	
circumstances,0,-9.56247502437	
espcially,-9.83574390045,0	
example,-8.44944953933,-8.4638627357	
currency,-9.83574390045,0	
reviewing,-9.83574390045,0	
want,-6.33923633898,-8.4638627357	
absolute,-9.14259671989,0	
travel,-9.14259671989,-9.56247502437	
damage,-9.83574390045,0	
machine,-9.83574390045,0	
how,-6.46844807046,-7.61656487532	
hot,-9.14259671989,0	
hou,0,-4.23459885558	
significance,0,-9.56247502437	
place,-7.19668657083,-7.77071555514	
wrong,-8.73713161178,0	
chums,-9.83574390045,0	
siberia,-9.83574390045,0	
vance,0,-8.86932784381	
hzriubp,-9.83574390045,0	
effective,-8.73713161178,-7.48303348269	
baggage,-9.83574390045,0	
democratic,0,-8.86932784381	
wing,0,-9.56247502437	
wind,0,-9.56247502437	
kvie,-9.83574390045,0	
vary,-9.83574390045,0	
kickoff,0,-8.86932784381	
classrom,0,-9.56247502437	
rankings,0,-9.56247502437	
striking,0,-9.56247502437	
pilkington,-9.83574390045,0	
davis's,0,-9.56247502437	
shenkman,0,-9.56247502437	
accrual,0,-8.86932784381	
effects,-9.83574390045,0	
ezine______________________________________________________,-9.83574390045,0	
undeveloped,-9.83574390045,0	
silver,-9.83574390045,0	
interfering,-9.83574390045,0	
anonymise,-9.83574390045,0	
financial,-9.14259671989,-7.25988993138	
secret's,-9.14259671989,0	
liquids,0,-9.56247502437	
392,0,-8.86932784381	
we'd,0,-9.56247502437	
399,-9.83574390045,0	
message,-6.94537214255,-8.86932784381	
uncollected,0,-9.56247502437	
rw,-9.83574390045,0	
rx,-9.83574390045,0	
0281,0,-9.56247502437	
rd,0,-9.56247502437	
re,-7.88983375139,-6.42698080844	
encourage,0,-8.17618066325	
rm,-9.83574390045,0	
strategist,-9.14259671989,0	
managerial,0,-8.86932784381	
estimate,-9.83574390045,-9.56247502437	
enormous,0,-9.56247502437	
ate,-9.14259671989,-9.56247502437	
litteneker,0,-9.56247502437	
shipped,-9.83574390045,0	
today's,-8.04398443122,0	
speeds,-9.83574390045,0	
nigel,0,-9.56247502437	
52109,0,-9.56247502437	
wash,-9.83574390045,0	
instruct,-9.83574390045,0	
clarity,0,-9.56247502437	
cheaep,-9.83574390045,0	
service,-6.00710250396,-8.86932784381	
needed,-9.14259671989,-7.61656487532	
master,-8.73713161178,0	
listed,-8.73713161178,-8.17618066325	
gilbert,0,-9.56247502437	
legs,-8.73713161178,0	
profitbanners,-8.44944953933,0	
listen,-9.83574390045,-9.56247502437	
intelt,-9.83574390045,0	
willbe,-9.83574390045,0	
expanding,-9.83574390045,0	
tree,-9.83574390045,-9.56247502437	
project,-7.43784862765,-7.61656487532	
feeling,-9.83574390045,-8.86932784381	
acquisition,-9.83574390045,0	
affairs,0,-9.56247502437	
responsible,0,-8.17618066325	
eiben,0,-9.56247502437	
taxation,-9.83574390045,0	
uafn,-9.83574390045,0	
shall,-7.75630235877,-9.56247502437	
limitless,-9.14259671989,0	
enron's,0,-8.86932784381	
microsale,-7.75630235877,0	
letter,-6.53990703445,0	
organization,0,-7.77071555514	
morality,-9.83574390045,0	
bradford,0,-9.56247502437	
snooping,-9.83574390045,0	
emailing,-9.14259671989,0	
professor,-9.83574390045,0	
camp,0,-7.61656487532	
teco,0,-8.86932784381	
came,-9.14259671989,0	
saying,-8.44944953933,0	
meetings,-9.83574390045,-7.77071555514	
nominated,0,-8.17618066325	
'cenochs,0,-9.56247502437	
participate,-9.83574390045,-8.4638627357	
tempted,-9.83574390045,0	
busy,-9.83574390045,0	
layout,-8.73713161178,0	
louise,0,-7.48303348269	
headline,-9.14259671989,0	
discoouunt,-9.83574390045,0	
accelerate,-9.83574390045,0	
touched,-9.83574390045,0	
rich,-9.83574390045,0	
emphatically,-9.83574390045,0	
alhaji,-9.14259671989,0	
cushion,-9.83574390045,0	
advertisments,-9.83574390045,0	
net,-6.37000799765,-8.4638627357	
volatility,0,-8.17618066325	
'celias,0,-9.56247502437	
release,0,-9.56247502437	
respond,-7.88983375139,-9.56247502437	
kfbtyra,-9.83574390045,0	
fair,-9.83574390045,-9.56247502437	
branding,-7.75630235877,0	
'singleton,0,-9.56247502437	
result,-9.83574390045,-9.56247502437	
clem,0,-9.56247502437	
best,-6.89130492128,-7.48303348269	
oceania,-9.83574390045,0	
pressured,0,-8.86932784381	
lots,-9.83574390045,-9.56247502437	
delphi,-9.83574390045,0	
score,-9.83574390045,0	
timesheets,0,-9.56247502437	
screwball,-9.83574390045,0	
never,-8.04398443122,-9.56247502437	
extend,-9.83574390045,0	
nature,-9.83574390045,-9.56247502437	
783019,-9.83574390045,0	
here,-6.00710250396,-7.36525044704	
extent,0,-9.56247502437	
debt,-7.88983375139,-7.95303711194	
country,-6.89130492128,-8.17618066325	
heating,0,-8.86932784381	
argue,0,-9.56247502437	
adapted,-9.83574390045,0	
asked,-9.83574390045,-8.86932784381	
and,-3.86959716133,-3.93485391068	
259,-9.83574390045,0	
250,-9.83574390045,0	
256,-9.83574390045,0	
dhar,0,-8.17618066325	
union,-9.83574390045,-9.56247502437	
twain,0,-9.56247502437	
64610,0,-8.86932784381	
much,-7.06315517821,-7.36525044704	
100038,0,-9.56247502437	
correction,-9.83574390045,-9.56247502437	
location,0,-7.16457975157	
life,-7.43784862765,-9.56247502437	
eastern,0,-9.56247502437	
dave,0,-7.36525044704	
lift,0,-9.56247502437	
chile,-9.83574390045,0	
doubts,-9.83574390045,0	
worked,-9.14259671989,-9.56247502437	
diverted,0,-9.56247502437	
strangas,0,-9.56247502437	
brainstorm,0,-9.56247502437	
played,-9.83574390045,0	
ycon,-9.14259671989,0	
elmira,-9.83574390045,0	
player,-9.14259671989,0	
trusted,-9.14259671989,0	
hone,-9.83574390045,0	
things,-8.22630598802,-8.4638627357	
damages,-9.83574390045,0	
european,-9.14259671989,0	
cindy,0,-7.95303711194	
workforce,0,-9.56247502437	
josey,0,-7.61656487532	
ownership,0,-8.86932784381	
hrice,0,-8.86932784381	
melodick,0,-9.56247502437	
corporate,-9.83574390045,-7.61656487532	
