[3.090884485440918, 5.615924103936306]
[5.58562273921164, -0.40129922622828484]
[6.294082446111101, 5.482138929745603]
[7.873512373367164, 5.809850345829621]
[3.0071502650270285, -2.191850042570122]
[-0.32672990361761306, 3.6340722827303633]
[6.279894978154345, 5.257330715613044]
[6.659975210633047, 5.451086568956724]
[2.8393265358184974, 0.13470780921053827]
[0.8320656442652263, 5.711830674872619]
[4.77864675475314, 6.674650471448924]
[4.219135365218293, -1.6732627805927889]
[3.578898041019071, -0.5527882815913342]
[7.89241893841862, 4.957996319493149]
[0.6515948934011389, 2.74067019418473]
[-0.36876016743880613, 6.200158688024258]
[4.404610280911376, 4.985564219019002]
[0.957628007883824, 4.413319089998978]
[3.740718592220284, 1.6836888656233904]
[4.9424303159875675, 6.318757699091595]
[5.761367804491598, 1.1058897471547948]
[4.377659165258738, -1.0986035478971932]
[6.000626232813512, 5.898280595546205]
[0.7989357408949835, 3.858991078603075]
[5.201066505398696, 6.419862824294892]
[4.548021417330732, 6.53204016398401]
[5.137792067150449, 5.389482013476841]
[-1.0616816878115203, 4.288922062551494]
[5.341356718529448, 5.750410017800853]
[5.913070826144655, 4.655283866804441]
[4.228444681363151, -0.18080034802455686]
[4.573604988059665, -2.651368403579279]
[-1.0516539299711678, 3.5917632736091236]
[1.6360584840505163, 5.093463008246925]
[5.779022695799735, 5.943838611133268]
[0.3491538699338582, 3.440955581085178]
[6.839850424142894, 3.6924283034289616]
[-1.5776059834029867, 5.075429310272014]
[-0.06640556112965927, 3.583863376828098]
[5.975900604929065, 2.1917928463002507]
[1.0320410969541514, 4.142854653632334]
[0.3095643087024965, 3.9492997252378665]
[-0.9809422649340874, 4.406809384279542]
[-2.643991168156459, 3.2081974350916678]
[4.920058956304547, 5.811556921133409]
[5.969471952847588, 5.5521732644489274]
[-0.8262716075978151, 4.594629777640258]
[2.24492135192717, -1.9262684896424949]
[7.701642695972565, 4.80301988577437]
[-0.7383328273675461, 3.702251818541781]
[3.1202539743869293, 0.31885168848765216]
[7.938790301371774, 7.124705524121302]
[4.146145272555861, 0.3054349927655736]
[6.049221529112631, 5.970662557900327]
[0.07073550648820029, 2.8094495243141386]
[3.1303709068783583, -0.5346265806454704]
[6.880527842860136, 5.220993219832862]
[3.7896821001421075, 0.6904123872301579]
[5.1644568184479915, 5.962650199130947]
[3.432068684600939, -1.129606114354413]
[1.4347373293740437, 0.18105055200733333]
[5.43926912490837, -0.09011962852483525]
[2.8855871780586235, -1.2685885174319729]
[2.6233682591309386, 0.06680678834389]
[4.509746701227956, 0.21729900217202341]
[-1.9422002478917617, 5.337917212235766]
[5.411509920918389, 0.19268808536235515]
[-0.5352452020389449, 4.724812242623737]
[4.504330873632956, 4.564374972624955]
[6.056798930011021, 5.823071409014072]
[-0.058595903981686875, 3.74476545553989]
[-1.3251601073193355, 3.6044255608038984]
[7.524291241877051, 5.438569218239096]
[3.4410052175211407, -0.5447947881065401]
[0.48445627280294684, 4.709789285809524]
[4.422928779511552, 0.602775314303031]
[0.4409018807948443, 3.07311233290375]
[6.636098211712577, 5.3147877104733485]
[0.15729110725792123, 1.5560400004899244]
[5.201229975631204, 0.24316746573181588]
[6.561943953020049, 6.179164114731135]
[6.823401128330279, 5.949692347241831]
[-1.3580742639546948, 4.7853218686945365]
[5.054935864507119, -0.7596014318956268]
[3.932292550449775, 0.16857413825759243]
[2.583131896616659, 7.537142595661787]
[4.39860631811493, 6.760728518204072]
[3.989025458190014, 1.0808100464726418]
[0.28779190508369784, 3.6919262486097133]
[4.578091333357197, -0.34660318125301176]
